time x y z pitch mu rL Rc gyrophase
24.7558 0.763072 23.4406 22.2308 0.407229 1.01039e-31 0.396066 inf 2.01593
24.8814 0.829996 23.5713 22.3309 0.407229 1.0104e-31 0.396067 inf 1.83834
25.0071 0.89968 23.6933 22.4396 0.407229 1.01039e-31 0.396066 inf 1.66074
25.1327 0.969932 23.8065 22.5572 0.407229 1.0104e-31 0.396066 inf 1.48314
25.2584 1.03854 23.911 22.6835 0.407229 1.01039e-31 0.396066 inf 1.30554
25.3841 1.10335 24.0071 22.8181 0.407229 1.01039e-31 0.396065 inf 1.12795
25.5097 1.16232 24.0954 22.9606 0.407229 1.0104e-31 0.396067 inf 0.950339
25.6354 1.2136 24.1768 23.11 0.407228 1.01039e-31 0.396065 inf 0.772748
25.7611 1.25556 24.2523 23.2653 0.407229 1.01039e-31 0.396066 inf 0.595146
25.8867 1.2869 24.3232 23.4252 0.407229 1.01039e-31 0.396066 inf 0.417547
26.0124 1.30663 24.3908 23.5883 0.407228 1.01039e-31 0.396066 inf 0.239948
26.1381 1.31412 24.4568 23.7531 0.407229 1.0104e-31 0.396067 inf 0.0623495
26.2637 1.30914 24.5226 23.9181 0.407229 1.01039e-31 0.396066 inf 6.16794
26.3894 1.29185 24.5898 24.0817 0.40723 1.01041e-31 0.396068 inf 5.99034
26.515 1.26279 24.6599 24.2424 0.407228 1.01039e-31 0.396065 inf 5.81274
26.6407 1.22288 24.7343 24.3987 0.407228 1.01039e-31 0.396066 inf 5.63514
26.7664 1.17336 24.8144 24.5494 0.407229 1.0104e-31 0.396067 inf 5.45754
26.892 1.1158 24.9012 24.6933 0.407229 1.0104e-31 0.396067 inf 5.27995
27.0177 1.05202 24.9957 24.8297 0.407229 1.0104e-31 0.396067 inf 5.10235
27.1434 0.984004 25.0984 24.9577 0.407229 1.0104e-31 0.396066 inf 4.92475
27.269 0.913907 25.2099 25.077 0.407229 1.0104e-31 0.396066 inf 4.74715
27.3947 0.843929 25.3302 25.1875 0.407229 1.0104e-31 0.396066 inf 4.56955
27.5204 0.776274 25.4591 25.2893 0.407229 1.0104e-31 0.396067 inf 4.39195
27.646 0.713068 25.5963 25.3829 0.407229 1.01039e-31 0.396065 inf 4.21436
27.7717 0.656301 25.741 25.469 0.407229 1.0104e-31 0.396067 inf 4.03675
27.8973 0.607757 25.8924 25.5484 0.407229 1.01039e-31 0.396066 inf 3.85916
28.023 0.568965 26.0492 25.6223 0.407229 1.0104e-31 0.396067 inf 3.68156
28.1487 0.541145 26.2103 25.692 0.407229 1.0104e-31 0.396067 inf 3.50396
28.2743 0.525171 26.3741 25.759 0.40723 1.0104e-31 0.396068 inf 3.32636
28.4 0.521546 26.5391 25.8247 0.407229 1.0104e-31 0.396067 inf 3.14876
28.5257 0.530385 26.7039 25.8908 0.407229 1.0104e-31 0.396066 inf 2.97116
