it time x y z u v w Bx By Bz
440 27.646 0.713068 25.5963 25.3829 -0.49208 1.10742 0.729021 0 1 1
442 27.7717 0.656301 25.741 25.469 -0.437069 1.16592 0.670525 0 1 1
444 27.8973 0.607757 25.8924 25.5484 -0.368309 1.21662 0.619821 0 1 1
446 28.023 0.568965 26.0492 25.6223 -0.287962 1.25794 0.578505 0 1 1
448 28.1487 0.541145 26.2103 25.692 -0.198556 1.28857 0.547876 0 1 1
450 28.2743 0.525171 26.3741 25.759 -0.102905 1.30755 0.528897 0 1 1
452 28.4 0.521546 26.5391 25.8247 -0.00401545 1.31428 0.522166 0 1 1
454 28.5257 0.530385 26.7039 25.8908 0.095 1.30855 0.527894 0 1 1
456 28.6513 0.551409 26.8667 25.9587 0.191027 1.29054 0.545901 0 1 1
458 28.777 0.583957 27.0262 26.03 0.281044 1.26082 0.575621 0 1 1
460 28.9027 0.627004 27.1809 26.1061 0.362221 1.22033 0.616118 0 1 1
462 29.0283 0.679198 27.3296 26.1882 0.432002 1.17032 0.666119 0 1 1
464 29.154 0.738895 27.4712 26.2773 0.488193 1.11239 0.724051 0 1 1
466 29.2796 0.804218 27.605 26.3743 0.529027 1.04835 0.788091 0 1 1
468 29.4053 0.873112 27.7304 26.4797 0.553218 0.980218 0.856225 0 1 1
470 29.531 0.943409 27.8469 26.5939 0.560006 0.910134 0.92631 0 1 1
472 29.6566 1.0129 27.9547 26.7169 0.549176 0.840304 0.996139 0 1 1
474 29.7823 1.07939 28.0539 26.8484 0.521071 0.772926 1.06352 0 1 1
476 29.908 1.1408 28.1451 26.988 0.476574 0.710118 1.12633 0 1 1
478 30.0336 1.1952 28.229 27.1349 0.417084 0.653857 1.18259 0 1 1
480 30.1593 1.24086 28.3066 27.2881 0.344474 0.605912 1.23053 0 1 1
482 30.285 1.27636 28.379 27.4464 0.261027 0.567792 1.26865 0 1 1
484 30.4106 1.30058 28.4477 27.6085 0.169368 0.540696 1.29575 0 1 1
486 30.5363 1.31275 28.5141 27.7729 0.0723814 0.525476 1.31097 0 1 1
488 30.6619 1.31249 28.5798 27.938 -0.0268822 0.522612 1.31383 0 1 1
490 30.7876 1.29982 28.6463 28.1023 -0.1253 0.532193 1.30425 0 1 1
492 30.9133 1.27513 28.7151 28.2642 -0.219776 0.553917 1.28253 0 1 1
494 31.0389 1.23919 28.7878 28.4223 -0.307339 0.587103 1.24934 0 1 1
