it time x y z u v w Bx By Bz
412 1.236e-08 -3.0248e-08 0.100012 1.29398e-06 -9671.48 754.748 2427.5 0 1 0.0996801
414 1.242e-08 1.27308e-07 0.100012 1.16066e-06 -3556.18 1908.73 -9149.34 0 1 0.0996802
416 1.248e-08 2.86189e-07 0.100012 1.30428e-06 8763.52 1454.44 -4591.87 0 1 0.0996802
418 1.254e-08 1.69199e-07 0.100012 1.48457e-06 5793.68 184.469 8148.57 0 1 0.0996803
420 1.26e-08 -1.95522e-08 0.100012 1.39728e-06 -7284.28 314.508 6844 0 1 0.0996803
422 1.266e-08 4.92458e-08 0.100013 1.205e-06 -7653.5 1617.68 -6229.53 0 1 0.0996804
424 1.272e-08 2.55563e-07 0.100013 1.2535e-06 5330.19 1820.37 -8262.89 0 1 0.0996805
426 1.278e-08 2.39442e-07 0.100013 1.46846e-06 9014.41 568.943 4291.48 0 1 0.0996805
428 1.284e-08 2.90087e-08 0.100013 1.48514e-06 -3028.63 46.7406 9530.23 0 1 0.0996805
430 1.29e-08 -8.59808e-09 0.100013 1.28474e-06 -9787.67 1164.84 -1686.59 0 1 0.0996806
432 1.296e-08 1.92233e-07 0.100013 1.22719e-06 529.635 1972.51 -9789.21 0 1 0.0996807
434 1.302e-08 2.81116e-07 0.100013 1.4232e-06 9922.9 1060.63 -641.163 0 1 0.0996807
436 1.308e-08 1.02979e-07 0.100013 1.54109e-06 2003.88 20.1308 9797.15 0 1 0.0996808
438 1.314e-08 -3.13866e-08 0.100013 1.38548e-06 -9411.27 666.354 3314.21 0 1 0.0996809
440 1.32e-08 1.12445e-07 0.100013 1.23815e-06 -4406.77 1871.85 -8779.33 0 1 0.0996809
442 1.326e-08 2.83533e-07 0.100013 1.36645e-06 8286.13 1533.41 -5384.11 0 1 0.099681
444 1.332e-08 1.83384e-07 0.100013 1.55683e-06 6522.39 241.505 7576.29 0 1 0.099681
446 1.338e-08 -1.32744e-08 0.100013 1.48744e-06 -6620.83 250.092 7490.13 0 1 0.0996811
448 1.344e-08 3.66639e-08 0.100013 1.28964e-06 -8212.82 1544.19 -5492.27 0 1 0.0996812
450 1.35e-08 2.46073e-07 0.100013 1.31883e-06 4523.93 1866.01 -8720.78 0 1 0.0996812
452 1.356e-08 2.49601e-07 0.100013 1.53437e-06 9367.87 654.08 3437.31 0 1 0.0996813
454 1.362e-08 4.10926e-08 0.100013 1.57052e-06 -2132.12 22.8257 9770.03 0 1 0.0996813
456 1.368e-08 -1.56716e-08 0.100014 1.3745e-06 -9912.25 1073.59 -771.189 0 1 0.0996814
458 1.374e-08 1.78343e-07 0.100014 1.2986e-06 -398.675 1973.12 -9795.3 0 1 0.0996815
460 1.38e-08 2.84643e-07 0.100014 1.48554e-06 9810.46 1152.03 -1558.11 0 1 0.0996815
462 1.386e-08 1.17769e-07 0.100014 1.61947e-06 2903.49 42.8502 9569.11 0 1 0.0996815
464 1.392e-08 -3.11374e-08 0.100014 1.47702e-06 -9069.14 580.748 4172.94 0 1 0.0996816
466 1.398e-08 9.77179e-08 0.100014 1.31702e-06 -5219.02 1827.27 -8332.04 0 1 0.0996817
468 1.404e-08 2.79524e-07 0.100014 1.42892e-06 7736.62 1607.63 -6128.65 0 1 0.0996817
470 1.41e-08 1.97087e-07 0.100014 1.62778e-06 7194.34 305.03 6938.91 0 1 0.0996818
472 1.416e-08 -5.76634e-09 0.100014 1.57696e-06 -5899.75 192.088 8071.93 0 1 0.0996818
474 1.422e-08 2.48774e-08 0.100014 1.37542e-06 -8700.67 1465.85 -4706.34 0 1 0.0996819
476 1.428e-08 2.35555e-07 0.100014 1.38508e-06 3678.3 1904.01 -9101.92 0 1 0.099682
478 1.434e-08 2.58702e-07 0.100014 1.59939e-06 9639.81 742.117 2554.07 0 1 0.099682
480 1.44e-08 5.39338e-08 0.100014 1.65474e-06 -1217.05 7.3012 9925.66 0 1 0.0996821
482 1.446e-08 -2.14942e-08 0.100014 1.46486e-06 -9950.55 981.581 151.788 0 1 0.0996821
484 1.452e-08 1.64015e-07 0.100014 1.37133e-06 -1323.53 1965.15 -9715.27 0 1 0.0996822
486 1.458e-08 2.86808e-07 0.100014 1.54762e-06 9612.63 1241.99 -2460.66 0 1 0.0996823
488 1.464e-08 1.3265e-07 0.100014 1.69647e-06 3777.83 73.7872 9258.65 0 1 0.0996823
490 1.47e-08 -2.95025e-08 0.100015 1.56847e-06 -8648.07 498.675 4996.22 0 1 0.0996824
492 1.476e-08 8.32548e-08 0.100015 1.39725e-06 -5985.86 1775.37 -7811.37 0 1 0.0996825
494 1.482e-08 2.74196e-07 0.100015 1.49182e-06 7119.76 1676.44 -6818.99 0 1 0.0996825
496 1.488e-08 2.1019e-07 0.100015 1.69749e-06 7803.68 374.493 6241.98 0 1 0.0996825
498 1.494e-08 2.90671e-09 0.100015 1.66573e-06 -5127.31 141 8584.33 0 1 0.0996826
